0,Aarons Pass
1,Abbotsbury
2,Abbotsford
3,Abercrombie
4,Abercrombie River
5,Aberdare
6,Aberdeen
7,Aberfoyle
8,Aberglasslyn
9,Abermain
10,Abernethy
11,Abington
12,Acacia Creek
13,Acacia Gardens
14,Adaminaby
15,Adamstown
16,Adamstown Heights
17,Adelong
18,Adjungbilly
19,Afterlee
20,Agnes Banks
21,Airds
22,Akolele
23,Albert
24,Albion Park
25,Albion Park Rail
26,Albury
27,Aldavilla
28,Alectown
29,Alexandria
30,Alfords Point
31,Alfredtown
32,Alice
33,Alison
34,Allambie Heights
35,Allandale
36,Allawah
37,Alleena
38,Allgomera
39,Allworth
40,Allynbrook
41,Alma Park
42,Alpine
43,Alstonvale
44,Alstonville
45,Alumy Creek
46,Amaroo
47,Ambarvale
48,Anabranch North
49,Anabranch South
50,Anambah
51,Ando
52,Anembo
53,Angledale
54,Angledool
55,Anglers Reach
56,Angourie
57,Anna Bay
58,Annandale
59,Annangrove
60,Appin
61,Apple Tree Flat
62,Appleby
63,Appletree Flat
64,Apsley
65,Arable
66,Arakoon
67,Araluen
68,Aratula
69,Arcadia
70,Arcadia Vale
71,Ardglen
72,Arding
73,Ardlethan
74,Argalong
75,Argenton
76,Argents Hill
77,Argoon
78,Argyle
79,Ariah Park
80,Arkell
81,Arkstone
82,Armatree
83,Armidale
84,Armidale Dc
85,Arncliffe
86,Arndell Park
87,Arrawarra
88,Arrawarra Headland
89,Artarmon
90,Arthurville
91,Arumpo
92,Ashbury
93,Ashby
94,Ashby Heights
95,Ashby Island
96,Ashcroft
97,Ashfield
98,Ashford
99,Ashley
100,Ashmont
101,Ashtonfield
102,Asquith
103,Atholwood
104,Attunga
105,Auburn
106,Auburn Vale
107,Austinmer
108,Austral
109,Austral Eden
110,Australian Defence Forces
111,Avalon Beach
112,Avisford
113,Avoca
114,Avoca Beach
115,Avon
116,Avondale
117,Avonside
118,Awaba
119,Aylmerton
120,Baan Baa
121,Babinda
122,Babyl Creek
123,Back Creek
124,Back Forest
125,Backmede
126,Backwater
127,Badgerys Creek
128,Badja
129,Baerami
130,Baerami Creek
131,Bagnoo
132,Bago
133,Bagotville
134,Bakers Creek
135,Bakers Swamp
136,Balaclava
137,Balala
138,Balcolyn
139,Bald Blair
140,Bald Hills
141,Bald Nob
142,Bald Ridge
143,Baldersleigh
144,Baldry
145,Balfours Peak
146,Balgowlah
147,Balgowlah Heights
148,Balgownie
149,Balickera
150,Balladoran
151,Ballalaba
152,Balldale
153,Ballengarra
154,Ballimore
155,Ballina
156,Ballina Dc
157,Ballyroe
158,Balmain
159,Balmain East
160,Balmoral
161,Balranald
162,Bamarang
163,Banda Banda
164,Bandon Grove
165,Bangadang
166,Bangalee
167,Bangalow
168,Bangheet
169,Bango
170,Bangor
171,Banksia
172,Banksmeadow
173,Bankstown
174,Bankstown Aerodrome
175,Bankstown North
176,Bankstown Square
177,Bannaby
178,Bannister
179,Banoon
180,Banora Point
181,Banyabba
182,Bar Beach
183,Bar Point
184,Bara
185,Baradine
186,Barangaroo
187,Barcoongere
188,Barden Ridge
189,Bardia
190,Bardwell Park
191,Bardwell Valley
192,Barellan
193,Bargo
194,Barham
195,Barigan
196,Barkers Vale
197,Barmedman
198,Barneys Reef
199,Barnsley
200,Barraba
201,Barrack Heights
202,Barrack Point
203,Barraganyatti
204,Barragga Bay
205,Barratta
206,Barren Grounds
207,Barrengarry
208,Barretts Creek
209,Barringella
210,Barrington
211,Barrington Tops
212,Barry
213,Barwang
214,Barwon
215,Baryulgil
216,Basin View
217,Bass Hill
218,Bassendean
219,Batar Creek
220,Bateau Bay
221,Batehaven
222,Batemans Bay
223,Bathampton
224,Bathurst
225,Bathurst West
226,Batlow
227,Baulkham Hills
228,Baw Baw
229,Bawley Point
230,Baxters Ridge
231,Bay Village
232,Bayview
233,Beacon Hill
234,Beaconsfield
235,Bean Creek
236,Bearbong
237,Beard
238,Beaumont
239,Beaumont Hills
240,Beckom
241,Bective
242,Bectric
243,Bedgerabong
244,Beechwood
245,Beecroft
