suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC10196,Bardwell Valley,89,1111,1211,2322,1891,1684,0,178,90,39,318,212,267,1132,1062,70
SSC10197,Barellan,90,292,246,538,427,1154,0,72,0,7,18,22,87,227,222,5
SSC10198,Bargo,91,2208,2184,4392,3477,1485,450,323,49,30,217,312,1023,2126,2023,103
SSC10199,Barham,92,739,779,1518,1312,835,0,211,10,11,86,92,242,601,580,21
SSC10202,Barmedman,93,230,226,456,357,808,0,60,0,3,22,29,67,152,133,19
SSC10204,Barnsley,94,875,874,1749,1388,1402,0,91,13,10,49,102,481,924,848,76
SSC10206,Barraba,95,682,726,1408,1218,737,0,205,5,11,65,54,237,460,415,45
SSC10207,Barrack Heights,96,2871,3034,5905,4771,1088,0,543,47,41,251,365,1222,2509,2307,202
SSC10208,Barrack Point,97,347,340,687,558,1342,0,79,15,9,64,58,152,311,300,11
SSC10213,Barrengarry,98,109,87,196,159,1375,0,33,5,5,19,13,30,82,82,0
SSC10218,Barry,99,83,78,161,132,1281,0,15,0,6,10,11,36,75,72,3
SSC10223,Basin View,100,741,811,1552,1263,970,0,159,14,11,77,113,347,611,568,43
SSC10224,Bass Hill,101,4469,4603,9072,7009,1225,560,776,177,56,674,585,1171,3629,3291,338
SSC10227,Bateau Bay,102,5693,6453,12146,9970,1245,455,1125,189,114,1023,864,2414,5442,5133,309
SSC10228,Batehaven,103,823,953,1776,1550,901,0,267,23,17,113,108,349,661,588,73
SSC10229,Batemans Bay,104,759,768,1527,1332,703,375,269,7,16,54,71,270,479,415,64
SSC10231,Bathurst,105,3409,3517,6926,6035,1029,340,752,261,123,859,464,1158,3437,3164,273
SSC10232,Batlow,106,666,646,1312,1119,928,0,168,7,10,90,80,233,579,551,28
SSC10233,Baulkham Hills,107,18139,18917,37056,29040,2107,560,1978,2902,648,6488,3263,4564,19449,18490,959
SSC10235,Bawley Point,108,342,354,696,592,1025,0,45,24,21,79,57,168,275,254,21
SSC10237,Bayview,109,1659,1957,3616,3132,1476,1100,415,192,48,589,384,453,1492,1439,53
SSC10238,Beacon Hill,110,3733,3731,7464,5880,2369,875,473,336,120,1161,670,1099,4006,3861,145
SSC10239,Beaconsfield,111,516,473,989,860,2330,890,72,85,30,250,93,96,678,666,12
SSC10243,Beaumont Hills,112,4494,4546,9040,6735,2787,620,414,511,139,1585,796,986,4934,4725,209
SSC10244,Beckom,113,71,53,124,93,1375,0,17,0,3,8,8,13,61,57,4
SSC10248,Beechwood,114,292,317,609,480,1093,0,43,0,6,41,34,131,268,245,23
SSC10249,Beecroft,115,4451,4942,9393,7583,2598,0,617,1090,238,2150,731,710,4719,4530,189
SSC10251,Beelbangera,116,206,204,410,335,1368,0,45,3,0,20,17,89,212,204,8
SSC10253,Bega,117,2245,2419,4664,3750,974,350,489,57,45,300,259,842,1975,1854,121
SSC10256,Belbora,118,61,62,123,113,949,0,24,3,0,10,12,19,53,50,3
SSC10257,Belfield,119,3054,3262,6316,5054,1440,550,508,192,63,761,485,756,2914,2766,148
SSC10258,Belford,120,85,92,177,135,2416,0,17,3,0,13,13,43,97,93,4
SSC10261,Belimbla Park,121,285,293,578,463,1980,0,40,14,5,35,44,149,309,302,7
SSC10262,Bell,122,22,21,43,44,899,0,0,0,0,5,5,12,16,13,3
SSC10263,Bella Vista,123,3869,3963,7832,6421,2942,740,434,674,141,1671,680,739,4480,4223,257
SSC10264,Bellambi,124,1909,2039,3948,3250,924,440,365,65,32,255,276,751,1636,1464,172
SSC10266,Bellata,125,183,167,350,260,1218,0,33,3,0,20,15,36,164,154,10
SSC10267,Bellawongarah,126,68,61,129,117,2166,0,21,10,4,23,19,21,50,50,0
