suburb_id,suburb,post,industry,count
156,Bermagui,2546,Coffee shop,11
157,Berowra,2081,Coffee shop,1
158,Berowra Creek,2082,Coffee shop,0
159,Berowra Heights,2082,Coffee shop,3
160,Berowra Waters,2082,Coffee shop,1
161,Berrara,2540,Coffee shop,0
162,Berridale,2628,Coffee shop,1
163,Berrigan,2712,Coffee shop,2
164,Berrilee,2159,Coffee shop,0
165,Berrima,2577,Coffee shop,9
166,Berry,2535,Coffee shop,15
167,Bethungra,2590,Coffee shop,1
168,Beverley Park,2217,Coffee shop,0
169,Beverly Hills,2209,Coffee shop,5
170,Bewong,2540,Coffee shop,1
171,Bexley,2207,Coffee shop,8
172,Bexley North,2207,Coffee shop,5
173,Bibbenluke,2632,Coffee shop,0
174,Bickley Vale,2570,Coffee shop,0
175,Bidwill,2770,Coffee shop,1
176,Bigga,2583,Coffee shop,0
177,Bilambil,2486,Coffee shop,0
178,Bilambil Heights,2486,Coffee shop,1
179,Bilbul,2680,Coffee shop,0
181,Bilgola Beach,2107,Coffee shop,1
182,Bilgola Plateau,2107,Coffee shop,1
183,Billimari,2804,Coffee shop,0
184,Billinudgel,2483,Coffee shop,1
185,Bilpin,2758,Coffee shop,5
186,Binalong,2584,Coffee shop,1
187,Bingara,2404,Coffee shop,1
188,Biniguy,2399,Coffee shop,0
189,Binnaway,2395,Coffee shop,1
190,Binya,2665,Coffee shop,0
191,Birchgrove,2041,Coffee shop,2
192,Birmingham Gardens,2287,Coffee shop,0
193,Birrong,2143,Coffee shop,1
194,Black Head,2430,Coffee shop,1
195,Black Hill,2322,Coffee shop,0
196,Black Springs,2787,Coffee shop,0
197,Blackalls Park,2283,Coffee shop,0
198,Blackbutt,2529,Coffee shop,0
199,Blackett,2770,Coffee shop,0
200,Blackheath,2785,Coffee shop,9
201,Blackmans Flat,2790,Coffee shop,0
202,Blackmans Point,2444,Coffee shop,1
203,Blacksmiths,2281,Coffee shop,3
204,Blacktown,2148,Coffee shop,35
205,Blackwall,2256,Coffee shop,1
206,Blair Athol,2560,Coffee shop,0
207,Blairmount,2559,Coffee shop,0
208,Blakebrook,2480,Coffee shop,0
209,Blakehurst,2221,Coffee shop,1
210,Blaxland,2774,Coffee shop,4
211,Blayney,2799,Coffee shop,2
212,Bligh Park,2756,Coffee shop,1
213,Blighty,2713,Coffee shop,0
214,Blue Bay,2261,Coffee shop,1
215,Blue Haven,2262,Coffee shop,0
216,Blue Knob,2480,Coffee shop,1
217,Blueys Beach,2428,Coffee shop,3
218,Boambee,2450,Coffee shop,1
219,Boambee East,2452,Coffee shop,1
220,Boat Harbour,2484,Coffee shop,0
221,Bobs Farm,2316,Coffee shop,2
222,Bodalla,2545,Coffee shop,3
223,Bogan Gate,2876,Coffee shop,1
224,Bogangar,2488,Coffee shop,4
225,Boggabilla,2409,Coffee shop,1
