suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
24,Albion Park,2527,Tongarra Thai,restaurant,4.4,82,150.7733326,-34.5707166,"Unit 3/150 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Joe's Milkbar,restaurant,4.7,161,150.774752,-34.572318,"Shop 11, Albion Park Shopping VIllage, Entrance to carpark on Russel St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Il Lago Pizzeria,restaurant,4.2,16,150.7609529,-34.5741606,"3/7 Sophia St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Pinocchio Pizza Albion Park,restaurant,4.2,118,150.777041,-34.5792456,"148 Terry St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Blue Jay Cafe,restaurant,4.6,311,150.760887,-34.57423,"Shop 1/7 Sophia St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Delicious Delights,restaurant,4.4,103,150.7741135,-34.5710253,"3/149 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Terry Street Take Away,restaurant,4.3,88,150.7772965,-34.5794407,"1/156 Terry St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Domino's Pizza Albion Park,restaurant,3.9,69,150.7731824,-34.5707169,"shop 1/150 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Subway,restaurant,4.4,25,150.7745428,-34.5724513,"10 Terry St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,BackBurner Cafe & Takeaway,restaurant,4.6,61,150.7860733,-34.5882614,"175 Ashburton Dr, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Bean 2 The Valley,restaurant,4.7,30,150.765493,-34.571305,"1/220 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Golden Century,restaurant,3.5,86,150.775256,-34.570578,"134 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Moon Fresh Sushi Albion Park,restaurant,4.2,34,150.7728781,-34.5712,"2/171 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Albion Park Hotel,restaurant,4.3,256,150.7748367,-34.57103,"Cnr Tongarra &, Terry St, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Park Bistro,restaurant,0,0,150.7691432,-34.5709363,"178 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,KFC Albion Park 2,restaurant,3.5,347,150.7743302,-34.5710657,"145-147 Tongarra Rd, Albion Park NSW 2527, Australia"
