"MEASURE","Selected Medians and Averages","STATE","State","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10603","Port Stephens","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10604","Upper Hunter","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10702","Illawarra Catchment Reserve","A","Annual","2011","2011",16,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10703","Kiama - Shellharbour","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10704","Wollongong","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10801","Great Lakes","A","Annual","2011","2011",51,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10802","Kempsey - Nambucca","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10803","Lord Howe Island","A","Annual","2011","2011",48,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10804","Port Macquarie","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10805","Taree - Gloucester","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10901","Albury","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10902","Lower Murray","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","10903","Upper Murray exc. Albury","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11001","Armidale","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11002","Inverell - Tenterfield","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11003","Moree - Narrabri","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11004","Tamworth - Gunnedah","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11101","Lake Macquarie - East","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11102","Lake Macquarie - West","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11103","Newcastle","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11201","Richmond Valley - Coastal","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11202","Richmond Valley - Hinterland","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11203","Tweed Valley","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11301","Griffith - Murrumbidgee (West)","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11302","Tumut - Tumbarumba","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11303","Wagga Wagga","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11401","Shoalhaven","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11402","Southern Highlands","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",32,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",31,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",32,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11901","Bankstown","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11902","Canterbury","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11903","Hurstville","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","11904","Kogarah - Rockdale","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12001","Canada Bay","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12002","Leichhardt","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12003","Strathfield - Burwood - Ashfield","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12402","Blue Mountains - South","A","Annual","2011","2011",16,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12404","Richmond - Windsor","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12405","St Marys","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12501","Auburn","A","Annual","2011","2011",31,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12502","Carlingford","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12601","Pennant Hills - Epping","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12602","Ryde - Hunters Hill","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2011","2011",32,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12702","Fairfield","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12703","Liverpool","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12801","Cronulla - Miranda - Caringbah","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","12802","Sutherland - Menai - Heathcote","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","19797","Migratory - Offshore - Shipping (NSW)","A","Annual","2011","2011",63,,
"MAGE","Median age of persons","1","New South Wales","SA3","Statistical Area Level 3","19999","Special Purpose Codes SA3 (NSW)","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011001","Goulburn","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011002","Goulburn Region","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011003","Yass","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011004","Yass Region","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011005","Young","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101011006","Young Region","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021007","Braidwood","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021008","Karabar","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021009","Queanbeyan","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021010","Queanbeyan - East","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021011","Queanbeyan Region","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101021012","Queanbeyan West - Jerrabomberra","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101031013","Bombala","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101031014","Cooma","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101031015","Cooma Region","A","Annual","2011","2011",46,,
