suburb_id,suburb,post,industry,count
2476,Macquarie Hills,2285,train station,0
2477,Macquarie Links,2565,train station,0
2478,Macquarie Marshes,2831,train station,0
2479,Macquarie Park,2113,train station,0
2480,Macquarie Pass,2577,train station,0
2481,Maddens Plains,2508,train station,0
2482,Maffra,2630,train station,0
2483,Magenta,2261,train station,0
2484,Magometon,2829,train station,0
2485,Maianbar,2230,train station,0
2486,Maimuru,2594,train station,0
2487,Main Arm,2482,train station,0
2488,Main Creek,2420,train station,0
2489,Mairjimmy,2716,train station,0
2490,Maison Dieu,2330,train station,0
2491,Maitland,2320,train station,2
2492,Maitland Bar,2850,train station,0
2493,Maitland North,2320,train station,0
2494,Maitland Vale,2320,train station,0
2495,Majors Creek,2622,train station,0
2496,Malabar,2036,train station,0
2497,Malabugilmah,2460,train station,0
2498,Maldon,2571,train station,0
2499,Mallabula,2319,train station,0
2500,Mallan,2734,train station,0
2501,Mallanganee,2469,train station,0
2502,Mallee,2738,train station,0
2503,Mallowa,2400,train station,0
2504,Maloneys Beach,2536,train station,0
2505,Malua Bay,2536,train station,0
2506,Manahan,2200,train station,0
2507,Manar,2622,train station,0
2508,Manchester Square,2577,train station,0
2509,Mandagery,2870,train station,0
2510,Mandalong,2264,train station,0
2511,Mandemar,2575,train station,0
2512,Mandurama,2792,train station,1
2513,Mangerton,2500,train station,0
2514,Mangoola,2328,train station,2
2515,Mangoplah,2652,train station,0
2516,Mangrove Creek,2250,train station,0
2517,Mangrove Mountain,2250,train station,0
2518,Manildra,2865,train station,5
2519,Manilla,2346,train station,0
2520,Manly,2095,train station,0
2521,Manly East,2095,train station,0
2522,Manly Vale,2093,train station,0
2523,Mannering Park,2259,train station,0
2524,Manning Point,2430,train station,0
2525,Mannus,2653,train station,0
2526,Manobalai,2333,train station,0
2527,Manton,2582,train station,0
2528,Manyana,2539,train station,0
2529,Maragle,2653,train station,0
2530,Maraylya,2765,train station,0
2531,Marayong,2148,train station,1
2532,March,2800,train station,0
2533,Marchmont,2582,train station,0
2534,Mardi,2259,train station,0
2535,Marengo,2453,train station,0
2536,Mares Run,2422,train station,0
2537,Marinna,2663,train station,0
2538,Marks Point,2280,train station,0
2539,Markwell,2423,train station,0
2540,Marlee,2429,train station,0
2541,Marlo Merrican,2446,train station,0
2542,Marlow,2775,train station,0
2543,Marlowe,2622,train station,0
2544,Marmong Point,2284,train station,0
2545,Marom Creek,2480,train station,0
2546,Maroota,2756,train station,0
2547,Maroubra,2035,train station,0
2548,Maroubra South,2035,train station,0
2549,Marrangaroo,2790,train station,1
2550,Marrar,2652,train station,1
2551,Marrickville,2204,train station,1
2552,Marrickville Metro,2204,train station,0
2553,Marrickville South,2204,train station,0
2554,Marsden Park,2765,train station,0
2555,Marsfield,2122,train station,0
2556,Marshall Mount,2530,train station,0
2557,Marshdale,2420,train station,0
2558,Marthaguy,2824,train station,0
2559,Martindale,2328,train station,0
2560,Martins Creek,2420,train station,1
2561,Martinsville,2265,train station,0
2562,Marulan,2579,train station,1
2563,Maryland,2287,train station,0
2564,Marys Mount,2380,train station,0
2565,Maryvale,2820,train station,1
2566,Maryville,2293,train station,0
2567,Mascot,2020,train station,3
2568,Matcham,2250,train station,0
2569,Matheson,2370,train station,0
2570,Mathoura,2710,train station,0
2571,Matong,2652,train station,0
2572,Matraville,2036,train station,0
2573,Maude,2711,train station,0
2574,Maules Creek,2382,train station,0
2575,Maxwell,2650,train station,0
2576,Maybole,2365,train station,0
2577,Mayers Flat,2423,train station,0
2578,Mayfield,2787,train station,0
2579,Mayfield East,2304,train station,0
2580,Mayfield North,2304,train station,0
2581,Mayfield West,2304,train station,0
2582,Mayrung,2710,train station,0
2583,Mays Hill,2145,train station,0
2584,Mayvale,2347,train station,0
2585,Mccarrs Creek,2105,train station,0
2586,Mccullys Gap,2333,train station,0
2587,Mcdougalls Hill,2330,train station,0
2588,Mcgraths Hill,2756,train station,0
2589,Mckees Hill,2480,train station,0
2590,Mckellars Park,2790,train station,0
2591,Mcleans Ridges,2480,train station,0
2592,Mcleods Shoot,2479,train station,0
2593,Mcmahons Point,2060,train station,0
2594,Mcmahons Reef,2587,train station,0
2595,Meadow Flat,2795,train station,0
2596,Meadowbank,2114,train station,1
2597,Mebbin,2484,train station,0
2598,Mebul,2852,train station,0
2599,Medlow Bath,2780,train station,1
2600,Medowie,2318,train station,0
2601,Medway,2820,train station,0
2602,Meerschaum Vale,2477,train station,0
2603,Megalong Valley,2785,train station,0
2604,Megan,2453,train station,0
2605,Melbergen,2669,train station,0
2606,Melinga,2430,train station,1
2607,Mellong,2756,train station,0
2608,Mellool,2734,train station,0
2609,Melrose Park,2114,train station,0
2610,Melville,2320,train station,0
2611,Memagong,2594,train station,0
2612,Menah,2850,train station,0
2613,Menai,2234,train station,0
2614,Menai Central,2234,train station,0
2615,Menangle,2568,train station,1
2616,Menangle Park,2563,train station,1
2617,Mendooran,2842,train station,1
2618,Menindee,2879,train station,0
2619,Merah North,2388,train station,0
2620,Merewether,2291,train station,0
2621,Merewether Heights,2291,train station,0
2622,Merimbula,2548,train station,0
2623,Meringo,2537,train station,0
2624,Mernot,2422,train station,0
2625,Meroo,2850,train station,0
2626,Meroo Meadow,2540,train station,0
2627,Merotherie,2852,train station,0
2628,Merriangaah,2632,train station,0
2629,Merricumbene,2622,train station,0
2630,Merrigal,2827,train station,0
2631,Merrill,2581,train station,0
2632,Merriwa,2329,train station,0
2633,Merriwagga,2652,train station,1
2634,Merrygoen,2831,train station,1
2635,Merrylands,2160,train station,1
2636,Merrylands West,2160,train station,0
2637,Merungle Hill,2705,train station,1
2638,Meryla,2577,train station,0
2639,Metford,2323,train station,1
2640,Metford Dc,2323,train station,0
2641,Methul,2701,train station,0
2642,Metz,2350,train station,0
2643,Miamley,2873,train station,0
2644,Miandetta,2825,train station,0
2645,Micalo Island,2464,train station,0
2646,Michelago,2620,train station,0
2647,Middle Arm,2580,train station,0
2648,Middle Brook,2337,train station,0
2649,Middle Brother,2443,train station,0
2650,Middle Cove,2068,train station,0
2651,Middle Dural,2158,train station,0
2652,Middle Falbrook,2330,train station,0
2653,Middle Flat,2630,train station,0
2654,Middle Pocket,2483,train station,0
2655,Middleton Grange,2171,train station,0
2656,Middlingbank,2630,train station,0
2657,Midginbil,2484,train station,0
2658,Mihi,2358,train station,0
2659,Mila,2632,train station,0
2660,Milbrodale,2330,train station,0
2661,Milbrulong,2656,train station,0
2662,Milkers Flat,2795,train station,0
2663,Millah Murrah,2795,train station,0
2664,Millbank,2440,train station,0
2665,Miller,2168,train station,0
2666,Millers Forest,2324,train station,0
2667,Millers Point,2000,train station,0
2668,Millfield,2325,train station,0
2669,Millie,2397,train station,0
2670,Millingandi,2549,train station,0
2671,Millthorpe,2798,train station,2
2672,Milparinka,2880,train station,0
2673,Milperra,2214,train station,0
2674,Milroy,2850,train station,0
2675,Milsons Arm,0,train station,0
2676,Milsons Passage,2083,train station,0
2677,Milsons Point,2061,train station,1
2678,Milton,2538,train station,0
2679,Milvale,2594,train station,0
2680,Mimosa,2666,train station,0
